id,name,hospital_name,address_x,address_y,expert,congestion,possible,url
0,佐藤 くみ子,佐藤医院,1398,511,内科,0.5330485928237427,0,http://www.shimizu.jp/
1,井上 舞,井上クリニック,9165,5360,外科,0.07655394625597567,1,https://yamamoto.net/
2,佐藤 陽子,佐藤病院,1093,1397,耳鼻科,0.6936013850035873,1,http://kato.jp/
3,佐々木 英樹,佐々木医院,1076,2206,眼科,0.43549898461206316,0,http://www.takahashi.com/
4,鈴木 充,鈴木クリニック,472,4633,内科,0.30460805443647465,1,http://www.nakajima.com/
5,山本 和也,山本病院,5751,5222,内科,0.6353504290813612,1,http://sasaki.com/
6,中村 康弘,中村医院,8841,9777,外科,0.9192538287182774,1,https://goto.org/
7,山本 美加子,山本クリニック,4867,7511,内科,0.4261400203338036,0,http://kato.net/
8,木村 治,木村病院,4143,8352,外科,0.0183909929588576,1,https://ito.jp/
9,佐藤 さゆり,佐藤医院,1309,1367,耳鼻科,0.9064792330693955,1,http://ishikawa.com/
10,清水 裕美子,清水クリニック,2285,349,眼科,0.6309875747262101,0,https://matsuda.com/
11,山本 七夏,山本病院,8995,2877,内科,0.8479365404330855,1,http://abe.com/
12,松田 春香,松田医院,8113,2827,内科,0.6180354038572239,1,https://www.kobayashi.com/
13,高橋 直樹,高橋クリニック,9236,1654,外科,0.9963744856451827,1,http://watanabe.com/
14,佐藤 舞,佐藤病院,9370,4679,内科,0.010368238758988735,0,http://kimura.com/
15,石川 太一,石川医院,4954,4246,外科,0.33791115334009936,1,https://www.yamaguchi.com/
16,山下 京助,山下クリニック,2830,4126,耳鼻科,0.5524154947394045,1,https://goto.com/
17,高橋 さゆり,高橋病院,4081,6832,眼科,0.4771607884243326,0,http://yoshida.com/
18,橋本 舞,橋本医院,6060,7307,内科,0.31595663390365825,1,https://www.saito.jp/
19,石川 京助,石川クリニック,490,4403,内科,0.025269290144474543,1,http://goto.com/
20,佐々木 舞,佐々木病院,5509,9971,外科,0.09781979396220863,1,http://www.hashimoto.com/
21,鈴木 春香,鈴木医院,9237,9996,内科,0.34760464229589094,0,https://shimizu.jp/
22,山本 京助,山本クリニック,5680,6633,外科,0.7952490402068357,1,https://kobayashi.com/
